aaer_num,filing_entity,aaer_respondent,primary_category,fiscal_periods_affected,dollar_impact,specific_mechanism,respondent_type,llm_confidence,release_no,sec_date,pdf_name
4465,TAL Education Group,TAL Education Group,REVENUE_TIMING,FY2020-Q1|FY2020-Q2|FY2020-Q3,overstated revenue by approximately $86.1 million and net income by approximately $26.6 million,"TAL's mid-level manager and subordinate forged, photoshopped, and fraudulently altered corporate seals and contracts to create fictitious B2B revenue from telecom operators, inflating reported net revenue by $86.1 million and net income by $26.6 million across the first three quarters of fiscal year 2020.",issuer,1.0,"34-98611, AAER-4465","Sept. 28, 2023",AAER-4465.pdf
2434,Tribune Company,Tribune Company,REVENUE_TIMING,FY2002|FY2003|FY2002-Q1|FY2002-Q2|FY2002-Q3|FY2002-Q4|FY2003-Q1|FY2003-Q2|FY2003-Q3|FY2003-Q4|FY2004-Q1,$90 million pretax charge,"Tribune inflated paid circulation figures at Newsday and Hoy, leading to overstated circulation revenues and misstated accounts receivable and accounts payable in its Forms 10-K and 10-Q.",issuer,0.95,"34-53882, AAER-2434","May 30, 2006",AAER-2434.pdf
4333,"VMware, Inc.","VMware, Inc.",REVENUE_TIMING,FY2019-Q1|FY2019-Q2|FY2019-Q3|FY2019-Q4|FY2020-Q1|FY2020-Q2|FY2020-Q3|FY2020-Q4|FY2019|FY2020,tens of millions of dollars,"VMware discretionarily held back sales orders that were ready to be booked as revenue, delaying delivery of license keys and shifting tens of millions of dollars in revenue into future quarters to manage earnings expectations.",issuer,0.95,"33-11099, 34-95744, AAER-4333","Sept. 12, 2022",AAER-4333.pdf
2884,"Beazer Homes USA, Inc.","Beazer Homes USA, Inc.",EARNINGS_SMOOTHING,FY2000|FY2001|FY2002|FY2003|FY2004|FY2005|FY2006|FY2007-Q1|FY2007-Q2,overstated net income by up to $20 million in FY2006; understated net income in earlier periods by creating reserves,"Beazer intentionally increased operating expenses in periods of strong growth to create improper reserves, then reversed those reserves in later periods to smooth earnings and meet analyst expectations.",issuer,0.95,"33-8960, 34-58633, AAER-2884","Sept. 24, 2008",AAER-2884.pdf
2968,"McAfee, Inc.",Ingram Micro Inc.,REVENUE_TIMING,FY1998-Q2|FY1998-Q3|FY1998-Q4|FY1999|FY2000-Q1|FY2000-Q2|FY2000-Q3,overstated revenue by $622 million,"McAfee overstated revenue by $622 million by stuffing its distribution channel with excess inventory and improperly recording revenue on sales to distributors that had no reasonable expectation of selling to end users, while concealing cash payments and concessions to induce continued purchases.",issuer,0.95,"34-59903, AAER-2968","May 12, 2009",AAER-2968.pdf
2909,Converium Holding AG,"SCOR Holding (Switzerland) Ltd., formerly known as Converium Holding AG",REVENUE_TIMING,FY1998|FY1999|FY2000|FY2001|FY2002|FY2003|FY2004,understated its reported loss before taxes by approximately $100 million (67%) in 2000 and by approximately $3 million (1%) in 2001,"Converium improperly accounted for finite reinsurance transactions as reinsurance when no risk was transferred, thereby understating losses before taxes by approximately $100 million in 2000 and $3 million in 2001, and artificially decreasing reported loss ratios.",issuer,0.95,"33-8988, 34-59084, AAER-2909","Dec. 11, 2008",AAER-2909.pdf
3704,"Stein Mart, Inc.","Stein Mart, Inc.",EXPENSE_DEFERRAL,FY2010|FY2011|FY2011-Q1|FY2011-Q2|FY2011-Q3|FY2011-Q4|FY2012-Q1,overstated pre-tax income by almost 30% in Q1 2012,"Stein Mart improperly deferred the write-down of inventory subject to permanent markdowns (Perm POS markdowns), recognizing the expense at the time of sale instead of immediately when the markdown was taken, thereby overstating pre-tax income.",issuer,0.95,"34-75958, AAER-3704","Sept. 22, 2015",AAER-3704.pdf
2660,"Aspen Technology, Inc.","Aspen Technology, Inc.",REVENUE_TIMING,FY1999-Q4|FY2000|FY2001|FY2002|FY2003|FY2004,"overstated license revenue by 25% for the quarter ended June 30, 1999; restatement reduced net income from $5.4 million to a loss of $3.2 million for fiscal 2000 and increased loss by $16 million for fiscal 2001","Aspen prematurely recognized revenue on at least nineteen software license transactions by recording revenue before contracts were signed within the quarter or while side letters or other contingencies made the earnings process incomplete, including a $9.9 million license where future undetermined products were required at no additional cost.",issuer,0.95,"33-8827, 34-56170, AAER-2660","July 31, 2007",AAER-2660.pdf
2085,"Royal Dutch Petroleum Company / The Shell Transport and Trading Company, p.l.c.","Royal Dutch Petroleum Company and The ""Shell"" Transport and Trading Co., p.l.c.",ACCOUNTING_ESTIMATE,FY1997|FY1998|FY1999|FY2000|FY2001|FY2002,overstated standardized measure of future cash flows by approximately $6.6 billion,"Shell overstated proved oil and gas reserves by approximately 4.47 billion barrels of oil equivalent (23%) as of year-end 2002 by improperly classifying reserves as 'proved' in violation of Rule 4-10 of Regulation S-X, resulting in a reduction of the standardized measure of future cash flows by approximately $6.6 billion.",issuer,0.95,"34-50233, AAER-2085","Aug. 24, 2004",AAER-2085.pdf
3283,GSI Group Inc.,"GSI Group, Inc.",REVENUE_TIMING,FY2004|FY2005|FY2006|FY2007|FY2008-Q1|FY2008-Q2,"overstated revenues by a total of approximately $1.9 million in 2004, $3.5 million in 2005, $43.1 million in 2006, $15.0 million in 2007, and $7.8 million and $3.3 million in the first and second quarters of 2008","GSI improperly recognized revenue on transactions where revenue recognition was prohibited under GAAP, due to deficient internal controls and lack of procedures to determine deliverables, resulting in overstatement of revenue by approximately $1.9 million to $43.1 million per year from 2004 through Q2 2008.",issuer,0.95,"34-64498, AAER-3283","May 13, 2011",AAER-3283.pdf
3758,"ModusLink Global Solutions, Inc.","ModusLink Global  Solutions, et al.",REVENUE_TIMING,FY2007|FY2008|FY2009|FY2010|FY2011|FY2012,"misstated net income by up to 1038%, 23%, and 22% in certain years","ModusLink improperly recognized revenue and net income by retaining vendor rebates and charging mark-ups that should have been passed through to clients under cost-plus and pass-through contracts, resulting in overstated revenue and net income.",issuer,0.95,"33-10055, 34-77372, AAER-3758","March 15, 2016",AAER-3758.pdf
